psgc_code,province_name,region
0604000000,Aklan,Region VI (Western Visayas)
0606000000,Antique,Region VI (Western Visayas)
0619000000,Capiz,Region VI (Western Visayas)
0630000000,Iloilo,Region VI (Western Visayas)
0645000000,Negros Occidental,Region VI (Western Visayas)
0679000000,Guimaras,Region VI (Western Visayas)
0712000000,Bohol,Region VII (Central Visayas)
0722000000,Cebu,Region VII (Central Visayas)
0746000000,Negros Oriental,Region VII (Central Visayas)
0761000000,Siquijor,Region VII (Central Visayas)
0826000000,Eastern Samar,Region VIII (Eastern Visayas)
0837000000,Leyte,Region VIII (Eastern Visayas)
0848000000,Northern Samar,Region VIII (Eastern Visayas)
0860000000,Samar,Region VIII (Eastern Visayas)
0864000000,Southern Leyte,Region VIII (Eastern Visayas)
0878000000,Biliran,Region VIII (Eastern Visayas)
